1	100:1	
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
1	100:1	
1	100:1	
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
1	90:1	100:1	
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
1	90:1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
1	90:1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	90:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
1	100:1	
-1
1	90:1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
1	90:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
1	100:1	
1	100:1	
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:3	
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:2	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
1	100:1	
-1
1	100:1	
1	100:1	
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
-1
-1
1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
1	90:1	100:1	
-1
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:2	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
1	100:1	
1	100:1	
1	100:1	
-1
-1
-1
-1
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
-1
-1
1	100:1	
-1
1	100:2	
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
-1
-1
-1
1	100:1	
-1
1	100:1	
-1
-1
-1
