INTEL CORP. v. ADVANCED MICRO DEVICES, INC.	Ruth Bader Ginsburg	Bill Clinton (Democrat)	11925
PLAN ET AL. v. HENDON, TRUSTEE	Ruth Bader Ginsburg	Bill Clinton (Democrat)	9757
